Emotion,Samples,Correct,Accuracy,Precision,Recall,F1-Score
sadness,287,261,0.9094076655052264,0.90625,0.9094076655052264,0.9078260869565218
joy,349,324,0.9283667621776505,0.8120300751879699,0.9283667621776505,0.8663101604278074
love,95,0,0.0,0.0,0.0,0.0
anger,134,127,0.9477611940298507,0.8089171974522293,0.9477611940298507,0.872852233676976
fear,101,92,0.9108910891089109,0.8288288288288288,0.9108910891089109,0.8679245283018868
surprise,34,31,0.9117647058823529,0.6888888888888889,0.9117647058823529,0.7848101265822784
